gene_id,gene_name
ensmusg00000053333,dis3l2
ensmusg00000100225,gm29097
ensmusg00000100768,gm29055
ensmusg00000104121,gm37485
ensmusg00000102383,gm38142
ensmusg00000104400,gm38010
ensmusg00000102293,gm37541
ensmusg00000102649,gm38021
ensmusg00000084106,gm6136
ensmusg00000102571,gm37967
ensmusg00000102956,gm37017
ensmusg00000103984,gm37447
ensmusg00000025978,rftn2
ensmusg00000046994,mars2
ensmusg00000026246,alppl2
ensmusg00000079440,alpi
ensmusg00000100940,gm29372
ensmusg00000028033,kcnq5
ensmusg00000036500,akp3
ensmusg00000104138,gm36949
ensmusg00000082935,gm7658
ensmusg00000103748,gm38243
ensmusg00000025977,boll
ensmusg00000100215,gm8292
ensmusg00000101945,btf3-ps17
ensmusg00000101085,gm8531
ensmusg00000038349,plcl1
ensmusg00000102145,gm38056
ensmusg00000100309,gm6644
ensmusg00000056211,r3hdm1
ensmusg00000102831,gm37382
ensmusg00000101535,gm29383
ensmusg00000104239,gm37588
ensmusg00000102491,gm36986
ensmusg00000102179,gm37868
ensmusg00000103497,gm37407
ensmusg00000065520,mir128-1
ensmusg00000100944,gm28900
ensmusg00000101332,gm28240
ensmusg00000045336,hsfy2
ensmusg00000026247,ecel1
ensmusg00000026353,ubxn4
ensmusg00000036480,prss56
ensmusg00000026589,sec16b
ensmusg00000103021,gm37682
ensmusg00000103501,gm7412
ensmusg00000026354,lct
ensmusg00000102245,gm34423
ensmusg00000103962,gm38213
ensmusg00000102789,gm38256
ensmusg00000004031,brinp2
ensmusg00000026251,chrnd
ensmusg00000026355,mcm6
ensmusg00000038331,satb2
ensmusg00000104310,gm4081
ensmusg00002075847,gm55536
ensmusg00000101129,gm5254
ensmusg00000038323,1700066m21rik
ensmusg00000026356,dars1
ensmusg00000088196,gm23902
ensmusg00000100152,gm29598
ensmusg00000100941,gm29597
ensmusg00000088432,gm25384
ensmusg00000026253,chrng
ensmusg00000100078,gm6170
ensmusg00000045382,cxcr4
ensmusg00000099403,gm29599
ensmusg00000097283,gm26686
ensmusg00000064737,gm23056
ensmusg00000048495,tyw5
ensmusg00000025971,maip1
ensmusg00000077776,gm22371
ensmusg00002076848,gm55546
ensmusg00000101826,gm8581
ensmusg00000102685,gm37373
ensmusg00000101151,gm17929
ensmusg00000042581,thsd7b
ensmusg00000103742,gm38240
ensmusg00000103637,gm38330
ensmusg00000104130,gm36951
ensmusg00000089648,gm15790
ensmusg00000094122,rpl31-ps9
ensmusg00000102800,gm37479
ensmusg00000103803,gm37064
ensmusg00000103281,gm37278
